Age	Non_Top5_Overall	Non_Top5_Potential	Non_Top5_Wage	Top5_Overall	Top5_Potential	Top5_Wage
17	55.0	72.0	1148.0	61.0	79.0	4200.0
18	57.0	72.0	1422.0	61.0	77.0	3120.0
19	58.0	71.0	1339.0	62.0	76.0	4690.0
20	60.0	72.0	3295.0	62.0	74.0	5960.0
21	61.0	72.0	2615.0	68.0	77.0	15848.0
22	63.0	71.0	2390.0	70.0	78.0	20111.0
23	65.0	71.0	3640.0	73.0	79.0	32353.0
24	65.0	71.0	3865.0	73.0	79.0	37167.0
25	67.0	71.0	5085.0	74.0	77.0	32250.0
26	67.0	70.0	6119.0	76.0	79.0	50273.0
27	66.0	68.0	6290.0	73.0	74.0	25529.0
28	67.0	68.0	5494.0	77.0	77.0	43913.0
29	67.0	67.0	6231.0	75.0	75.0	29100.0
30	67.0	67.0	5569.0	77.0	77.0	54111.0
31	67.0	67.0	4189.0	76.0	76.0	40917.0
32	68.0	68.0	9019.0	76.0	76.0	55714.0
33	67.0	67.0	5923.0	74.0	74.0	36750.0
34	67.0	67.0	5293.0	76.0	76.0	32833.0
35	66.0	66.0	2769.0	75.0	75.0	20667.0
37	67.0	67.0	5250.0	80.0	80.0	56500.0
40	61.0	61.0	1000.0	78.0	78.0	18000.0
