Age	Non_Top5_Overall	Non_Top5_Potential	Non_Top5_Wage	Top5_Overall	Top5_Potential	Top5_Wage
16	53.0	72.0	1000.0			
17	54.0	72.0	1114.0	60.0	79.0	4429.0
18	56.0	71.0	1272.0	63.0	79.0	6222.0
19	57.0	71.0	1410.0	62.0	76.0	7231.0
20	59.0	71.0	2454.0	67.0	78.0	16414.0
21	61.0	71.0	3149.0	69.0	78.0	18000.0
22	63.0	71.0	4224.0	72.0	79.0	28917.0
23	64.0	70.0	4143.0	76.0	82.0	38714.0
24	65.0	70.0	3366.0	76.0	80.0	44833.0
25	65.0	68.0	4239.0	76.0	79.0	46125.0
26	67.0	68.0	5458.0	76.0	78.0	45500.0
27	67.0	67.0	7190.0	77.0	77.0	52200.0
28	67.0	67.0	5852.0	76.0	76.0	64167.0
29	66.0	66.0	5107.0	76.0	76.0	36000.0
30	67.0	67.0	6467.0	76.0	76.0	62286.0
31	67.0	67.0	12269.0	77.0	77.0	41111.0
32	66.0	66.0	5042.0	74.0	74.0	41800.0
33	67.0	67.0	6929.0	75.0	75.0	23667.0
34	66.0	66.0	5667.0	80.0	80.0	39000.0
35	65.0	65.0	3000.0	68.0	68.0	7500.0
36	69.0	69.0	1667.0	71.0	71.0	16000.0
37	66.0	66.0	6500.0	69.0	69.0	5000.0
38	64.0	64.0	4500.0	71.0	71.0	7000.0
39	56.0	56.0	1000.0			
