id	name	x1	y1	x2	y2	population
ARG	Argentina	-38.42	-63.62	55.381	-3.441	16
ARM	Armenia	40.07	45.04	55.381	-3.441	1
AUS	Australia	-25.27	133.78	55.381	-3.441	3
AUT	Austria	47.52	14.55	55.381	-3.441	6
BEL	Belgium	50.5	4.47	55.381	-3.441	17
BEN	Benin	9.31	2.32	55.381	-3.441	1
BIH	Bosnia and Herzegovina	43.92	17.68	55.381	-3.441	2
BRA	Brazil	-14.24	-51.93	55.381	-3.441	20
CAN	Canada	56.13	-106.35	55.381	-3.441	1
CHE	Switzerland	46.82	8.23	55.381	-3.441	7
CHL	Chile	-35.68	-71.54	55.381	-3.441	2
CIV	Côte d'Ivoire	7.54	-5.55	55.381	-3.441	5
CMR	Cameroon	7.37	12.35	55.381	-3.441	3
COD	Congo, The Democratic Republic of the	-4.04	21.76	55.381	-3.441	4
COL	Colombia	4.57	-74.3	55.381	-3.441	5
CYP	Cyprus	35.13	33.43	55.381	-3.441	1
CZE	Czechia	49.82	15.47	55.381	-3.441	2
DEU	Germany	51.17	10.45	55.381	-3.441	15
DNK	Denmark	56.26	9.5	55.381	-3.441	13
DZA	Algeria	28.03	1.66	55.381	-3.441	2
ECU	Ecuador	-1.83	-78.18	55.381	-3.441	1
EGY	Egypt	26.82	30.8	55.381	-3.441	3
ESP	Spain	40.46	-3.75	55.381	-3.441	37
FRA	France	46.23	2.21	55.381	-3.441	31
GAB	Gabon	-0.8	11.61	55.381	-3.441	3
GBR	United Kingdom	55.38	-3.44	55.381	-3.441	289
GHA	Ghana	7.95	-1.02	55.381	-3.441	4
GIN	Guinea	9.95	-9.7	55.381	-3.441	2
GNQ	Equatorial Guinea	1.65	10.27	55.381	-3.441	1
GRC	Greece	39.07	21.82	55.381	-3.441	3
HRV	Croatia	45.1	15.2	55.381	-3.441	2
IRL	Ireland	53.41	-8.24	55.381	-3.441	21
IRN	Iran, Islamic Republic of	32.43	53.69	55.381	-3.441	1
ISL	Iceland	64.96	-19.02	55.381	-3.441	3
ISR	Israel	31.05	34.85	55.381	-3.441	1
ITA	Italy	41.87	12.57	55.381	-3.441	9
JAM	Jamaica	18.11	-77.3	55.381	-3.441	2
JPN	Japan	36.2	138.25	55.381	-3.441	3
KEN	Kenya	-0.02	37.91	55.381	-3.441	1
KOR	Korea, Republic of	35.91	127.77	55.381	-3.441	2
MAR	Morocco	31.79	-7.09	55.381	-3.441	2
MEX	Mexico	23.63	-102.55	55.381	-3.441	2
MLI	Mali	17.57	-4.0	55.381	-3.441	2
MNE	Montenegro	42.71	19.37	55.381	-3.441	1
NGA	Nigeria	9.08	8.68	55.381	-3.441	7
NLD	Netherlands	52.13	5.29	55.381	-3.441	21
NOR	Norway	60.47	8.47	55.381	-3.441	7
NZL	New Zealand	-40.9	174.89	55.381	-3.441	2
PHL	Philippines	12.88	121.77	55.381	-3.441	1
POL	Poland	51.92	19.15	55.381	-3.441	5
PRT	Portugal	39.4	-8.22	55.381	-3.441	19
PRY	Paraguay	-23.44	-58.44	55.381	-3.441	1
ROU	Romania	45.94	24.97	55.381	-3.441	2
SEN	Senegal	14.5	-14.45	55.381	-3.441	6
SRB	Serbia	44.02	21.01	55.381	-3.441	4
SVK	Slovakia	48.67	19.7	55.381	-3.441	1
SVN	Slovenia	46.15	15.0	55.381	-3.441	1
SWE	Sweden	60.13	18.64	55.381	-3.441	4
TGO	Togo	8.62	0.82	55.381	-3.441	1
TUN	Tunisia	33.89	9.54	55.381	-3.441	1
TUR	Turkey	38.96	35.24	55.381	-3.441	2
UKR	Ukraine	48.38	31.17	55.381	-3.441	2
URY	Uruguay	-32.52	-55.77	55.381	-3.441	2
USA	United States	37.09	-95.71	55.381	-3.441	5
VEN	Venezuela, Bolivarian Republic of	6.42	-66.59	55.381	-3.441	2
