Age	Non_Top5_Overall	Non_Top5_Potential	Non_Top5_Wage	Top5_Overall	Top5_Potential	Top5_Wage
17	53.0	71.0	1000.0	56.0	78.0	1200.0
18	54.0	70.0	986.0	60.0	77.0	1727.0
19	56.0	69.0	1040.0	62.0	77.0	4318.0
20	58.0	70.0	1516.0	63.0	75.0	4476.0
21	59.0	69.0	1737.0	64.0	75.0	6185.0
22	62.0	70.0	2869.0	68.0	76.0	9133.0
23	62.0	69.0	2213.0	72.0	79.0	16769.0
24	64.0	69.0	2805.0	72.0	78.0	20474.0
25	66.0	70.0	5491.0	75.0	79.0	35846.0
26	65.0	68.0	4376.0	75.0	78.0	41708.0
27	66.0	68.0	4062.0	73.0	76.0	34900.0
28	66.0	67.0	4012.0	76.0	77.0	33944.0
29	67.0	67.0	5090.0	77.0	78.0	37500.0
30	68.0	68.0	6946.0	73.0	73.0	27000.0
31	67.0	67.0	5797.0	78.0	78.0	55947.0
32	68.0	68.0	5347.0	75.0	75.0	33909.0
33	68.0	68.0	5638.0	77.0	77.0	37000.0
34	68.0	68.0	5875.0	75.0	75.0	27818.0
35	66.0	66.0	3591.0	73.0	73.0	21583.0
36	67.0	67.0	4400.0	78.0	78.0	32500.0
37	67.0	67.0	3148.0	74.0	74.0	17333.0
38	66.0	66.0	2308.0	73.0	73.0	20667.0
39	68.0	68.0	2800.0	74.0	74.0	9000.0
40	65.0	65.0	2286.0	88.0	88.0	77000.0
