id	name	x1	y1	x2	y2	population
ARG	Argentina	-38.42	-63.62	40.461	-3.751	27
BEL	Belgium	50.5	4.47	40.461	-3.751	4
BRA	Brazil	-14.24	-51.93	40.461	-3.751	18
CAF	Central African Republic	6.61	20.94	40.461	-3.751	1
CHL	Chile	-35.68	-71.54	40.461	-3.751	4
CIV	Côte d'Ivoire	7.54	-5.55	40.461	-3.751	1
CMR	Cameroon	7.37	12.35	40.461	-3.751	4
COD	Congo, The Democratic Republic of the	-4.04	21.76	40.461	-3.751	1
COG	Congo	-0.23	15.83	40.461	-3.751	1
COL	Colombia	4.57	-74.3	40.461	-3.751	9
CRI	Costa Rica	9.75	-83.75	40.461	-3.751	2
CZE	Czechia	49.82	15.47	40.461	-3.751	1
DEU	Germany	51.17	10.45	40.461	-3.751	3
DNK	Denmark	56.26	9.5	40.461	-3.751	5
DOM	Dominican Republic	18.74	-70.16	40.461	-3.751	1
DZA	Algeria	28.03	1.66	40.461	-3.751	2
ESP	Spain	40.46	-3.75	40.461	-3.751	353
FRA	France	46.23	2.21	40.461	-3.751	19
GBR	United Kingdom	55.38	-3.44	40.461	-3.751	2
GHA	Ghana	7.95	-1.02	40.461	-3.751	4
GIN	Guinea	9.95	-9.7	40.461	-3.751	1
GNQ	Equatorial Guinea	1.65	10.27	40.461	-3.751	2
GRC	Greece	39.07	21.82	40.461	-3.751	1
HND	Honduras	15.2	-86.24	40.461	-3.751	1
HRV	Croatia	45.1	15.2	40.461	-3.751	3
ITA	Italy	41.87	12.57	40.461	-3.751	5
JPN	Japan	36.2	138.25	40.461	-3.751	2
KOR	Korea, Republic of	35.91	127.77	40.461	-3.751	2
MAR	Morocco	31.79	-7.09	40.461	-3.751	6
MEX	Mexico	23.63	-102.55	40.461	-3.751	4
MKD	Macedonia, Republic of	41.61	21.74	40.461	-3.751	1
NGA	Nigeria	9.08	8.68	40.461	-3.751	3
NLD	Netherlands	52.13	5.29	40.461	-3.751	2
PER	Peru	-9.19	-75.02	40.461	-3.751	1
PRT	Portugal	39.4	-8.22	40.461	-3.751	13
PRY	Paraguay	-23.44	-58.44	40.461	-3.751	3
ROU	Romania	45.94	24.97	40.461	-3.751	2
RUS	Russian Federation	61.52	105.32	40.461	-3.751	1
SEN	Senegal	14.5	-14.45	40.461	-3.751	5
SRB	Serbia	44.02	21.01	40.461	-3.751	7
SVK	Slovakia	48.67	19.7	40.461	-3.751	2
SWE	Sweden	60.13	18.64	40.461	-3.751	1
TGO	Togo	8.62	0.82	40.461	-3.751	1
TUR	Turkey	38.96	35.24	40.461	-3.751	4
UKR	Ukraine	48.38	31.17	40.461	-3.751	1
URY	Uruguay	-32.52	-55.77	40.461	-3.751	12
VEN	Venezuela, Bolivarian Republic of	6.42	-66.59	40.461	-3.751	3
