id	name	x1	y1	x2	y2	population
ARG	Argentina	-38.42	-63.62	46.231	2.221	7
BEL	Belgium	50.5	4.47	46.231	2.221	13
BEN	Benin	9.31	2.32	46.231	2.221	2
BFA	Burkina Faso	12.24	-1.56	46.231	2.221	3
BRA	Brazil	-14.24	-51.93	46.231	2.221	27
CAF	Central African Republic	6.61	20.94	46.231	2.221	1
CAN	Canada	56.13	-106.35	46.231	2.221	1
CHE	Switzerland	46.82	8.23	46.231	2.221	3
CIV	Côte d'Ivoire	7.54	-5.55	46.231	2.221	16
CMR	Cameroon	7.37	12.35	46.231	2.221	11
COD	Congo, The Democratic Republic of the	-4.04	21.76	46.231	2.221	6
COG	Congo	-0.23	15.83	46.231	2.221	4
COL	Colombia	4.57	-74.3	46.231	2.221	3
COM	Comoros	-11.88	43.87	46.231	2.221	1
CPV	Cape Verde	16.0	-24.01	46.231	2.221	3
CZE	Czechia	49.82	15.47	46.231	2.221	2
DEU	Germany	51.17	10.45	46.231	2.221	3
DNK	Denmark	56.26	9.5	46.231	2.221	2
DZA	Algeria	28.03	1.66	46.231	2.221	7
ESP	Spain	40.46	-3.75	46.231	2.221	7
FRA	France	46.23	2.21	46.231	2.221	310
GAB	Gabon	-0.8	11.61	46.231	2.221	1
GBR	United Kingdom	55.38	-3.44	46.231	2.221	3
GHA	Ghana	7.95	-1.02	46.231	2.221	1
GIN	Guinea	9.95	-9.7	46.231	2.221	4
GNB	Guinea-Bissau	11.8	-15.18	46.231	2.221	1
GRC	Greece	39.07	21.82	46.231	2.221	2
HRV	Croatia	45.1	15.2	46.231	2.221	4
HTI	Haiti	18.97	-72.29	46.231	2.221	1
IRN	Iran, Islamic Republic of	32.43	53.69	46.231	2.221	1
ISL	Iceland	64.96	-19.02	46.231	2.221	2
ITA	Italy	41.87	12.57	46.231	2.221	6
JPN	Japan	36.2	138.25	46.231	2.221	2
KOR	Korea, Republic of	35.91	127.77	46.231	2.221	2
LTU	Lithuania	55.17	23.88	46.231	2.221	1
MAR	Morocco	31.79	-7.09	46.231	2.221	11
MDG	Madagascar	-18.77	46.87	46.231	2.221	3
MLI	Mali	17.57	-4.0	46.231	2.221	8
MNE	Montenegro	42.71	19.37	46.231	2.221	1
MOZ	Mozambique	-18.67	35.53	46.231	2.221	1
NCL	New Caledonia	-20.9	165.62	46.231	2.221	1
NER	Niger	17.61	8.08	46.231	2.221	1
NGA	Nigeria	9.08	8.68	46.231	2.221	1
NLD	Netherlands	52.13	5.29	46.231	2.221	3
NOR	Norway	60.47	8.47	46.231	2.221	1
PER	Peru	-9.19	-75.02	46.231	2.221	1
POL	Poland	51.92	19.15	46.231	2.221	3
PRT	Portugal	39.4	-8.22	46.231	2.221	10
ROU	Romania	45.94	24.97	46.231	2.221	1
RUS	Russian Federation	61.52	105.32	46.231	2.221	1
SEN	Senegal	14.5	-14.45	46.231	2.221	20
SRB	Serbia	44.02	21.01	46.231	2.221	7
SVK	Slovakia	48.67	19.7	46.231	2.221	2
SVN	Slovenia	46.15	15.0	46.231	2.221	3
SWE	Sweden	60.13	18.64	46.231	2.221	5
TCD	Chad	15.45	18.73	46.231	2.221	1
TGO	Togo	8.62	0.82	46.231	2.221	2
TUN	Tunisia	33.89	9.54	46.231	2.221	8
TUR	Turkey	38.96	35.24	46.231	2.221	2
URY	Uruguay	-32.52	-55.77	46.231	2.221	3
USA	United States	37.09	-95.71	46.231	2.221	2
ZAF	South Africa	-30.56	22.94	46.231	2.221	4
