id	name	x1	y1	x2	y2	population
AGO	Angola	18.22	-63.07	41.871	12.571	1
ALB	Albania	41.15	20.17	41.871	12.571	4
ARG	Argentina	-38.42	-63.62	41.871	12.571	27
AUT	Austria	47.52	14.55	41.871	12.571	1
BEL	Belgium	50.5	4.47	41.871	12.571	7
BFA	Burkina Faso	12.24	-1.56	41.871	12.571	1
BIH	Bosnia and Herzegovina	43.92	17.68	41.871	12.571	4
BRA	Brazil	-14.24	-51.93	41.871	12.571	30
CHE	Switzerland	46.82	8.23	41.871	12.571	7
CHL	Chile	-35.68	-71.54	41.871	12.571	2
CIV	Côte d'Ivoire	7.54	-5.55	41.871	12.571	7
CMR	Cameroon	7.37	12.35	41.871	12.571	2
COL	Colombia	4.57	-74.3	41.871	12.571	4
CRI	Costa Rica	9.75	-83.75	41.871	12.571	2
CZE	Czechia	49.82	15.47	41.871	12.571	5
DEU	Germany	51.17	10.45	41.871	12.571	5
DNK	Denmark	56.26	9.5	41.871	12.571	6
DZA	Algeria	28.03	1.66	41.871	12.571	4
ECU	Ecuador	-1.83	-78.18	41.871	12.571	2
ESP	Spain	40.46	-3.75	41.871	12.571	15
EST	Estonia	58.6	25.01	41.871	12.571	1
FIN	Finland	61.92	25.75	41.871	12.571	1
FRA	France	46.23	2.21	41.871	12.571	17
GBR	United Kingdom	55.38	-3.44	41.871	12.571	2
GEO	Georgia	42.32	43.36	41.871	12.571	1
GHA	Ghana	7.95	-1.02	41.871	12.571	9
GIN	Guinea	9.95	-9.7	41.871	12.571	1
GMB	Gambia	13.44	-15.31	41.871	12.571	2
GRC	Greece	39.07	21.82	41.871	12.571	3
HRV	Croatia	45.1	15.2	41.871	12.571	18
HUN	Hungary	47.16	19.5	41.871	12.571	1
IRQ	Iraq	33.22	43.68	41.871	12.571	1
ISL	Iceland	64.96	-19.02	41.871	12.571	1
ITA	Italy	41.87	12.57	41.871	12.571	235
KOS	Kosovo	42.6	20.9	41.871	12.571	1
LIE	Liechtenstein	47.17	9.56	41.871	12.571	1
MAR	Morocco	31.79	-7.09	41.871	12.571	3
MDA	Moldova, Republic of	47.41	28.37	41.871	12.571	2
MKD	Macedonia, Republic of	41.61	21.74	41.871	12.571	1
MLI	Mali	17.57	-4.0	41.871	12.571	1
MNE	Montenegro	42.71	19.37	41.871	12.571	2
NGA	Nigeria	9.08	8.68	41.871	12.571	4
NLD	Netherlands	52.13	5.29	41.871	12.571	11
POL	Poland	51.92	19.15	41.871	12.571	16
PRT	Portugal	39.4	-8.22	41.871	12.571	10
PRY	Paraguay	-23.44	-58.44	41.871	12.571	2
ROU	Romania	45.94	24.97	41.871	12.571	3
SEN	Senegal	14.5	-14.45	41.871	12.571	8
SRB	Serbia	44.02	21.01	41.871	12.571	17
SVK	Slovakia	48.67	19.7	41.871	12.571	3
SVN	Slovenia	46.15	15.0	41.871	12.571	10
SWE	Sweden	60.13	18.64	41.871	12.571	7
TUR	Turkey	38.96	35.24	41.871	12.571	3
URY	Uruguay	-32.52	-55.77	41.871	12.571	9
VEN	Venezuela, Bolivarian Republic of	6.42	-66.59	41.871	12.571	2
